工号,姓名,刷卡时间,门禁点,部门
030481,秦强,2026-04-10 09:22:01,A座-闸机,职能线/行政法务部
30411,孔玉平,2026-03-10 09:56:19,A座-闸机,星云科技/用户增长中心/内容运营部
030078,华曦,2026-03-31 09:58:22,A座-闸机,技术平台中心/基础架构部
30232,周军浩,2026-03-10 10:52:01,A座-闸机,星云科技/商业化中心/商业产品部
30062,陶伟斌,2026-03-16 09:18:49,A座-闸机,星云科技/技术平台/基础架构部
30430,钱英晨,2026-04-07 10:58:57,A座-闸机,星云科技/用户增长中心/内容运营部
30349,褚杰,2026-04-28 09:22:17,A座-闸机,星云科技/商业化中心/销售二部
30126,蒋磊志,2026-03-13 10:55:28,A座-闸机,星云科技/技术平台中心/应用研发部
030124,曹芳,2026-03-31 09:21:24,A座-闸机,星云科技/技术平台/应用研发部
30429,华娜,2026-04-27 09:22:01,A座-闸机,用户增长/内容运营部
30388,姜伟,2026-04-17 08:07:58,A座-闸机,用户增长/市场部
030426,褚平,2026-04-30 10:11:17,A座-闸机,用户增长/市场部
30388,姜伟,2026-03-27 10:01:03,A座-闸机,星云科技/用户增长中心/市场部
030461,赵平丽,2026-04-09 08:51:25,A座-闸机,星云科技/职能线/人力资源部
30104,钱明,2026-03-19 10:33:17,A座-闸机,技术平台中心/数据智能部
30015,周芳洋,2026-03-30 10:05:33,A座-闸机,技术平台中心/应用研发部
030470,孙志,2026-03-27 10:03:35,A座-闸机,职能线/财务部
030478,张娟,2026-04-06 08:47:08,A座-闸机,职能线/财务部
30234,施英霞,2026-03-04 08:22:22,A座-闸机,星云科技/商业化中心/商业产品部
030031,何军斌,2026-03-10 10:13:34,A座-闸机,星云科技/技术平台中心/应用研发部
30112,陈天军,2026-04-15 09:18:12,A座-闸机,星云科技/技术平台中心/基础架构部
030294,吕玉晨,2026-04-08 08:14:38,A座-闸机,商业化中心/商业产品部
030182,陶兰晨,2026-03-18 08:32:23,A座-闸机,星云科技/技术平台/基础架构部
030071,吕超华,2026-04-14 10:32:56,A座-闸机,星云科技/技术平台/应用研发部
30262,严娟,2026-03-03 10:24:08,A座-闸机,星云科技/商业化中心/销售一部
30468,王志,2026-03-05 08:45:39,A座-闸机,职能线/行政法务部
30086,韩浩怡,2026-04-06 09:35:20,A座-闸机,星云科技/技术平台中心/基础架构部
30283,许华军,2026-04-30 08:21:43,A座-闸机,星云科技/商业化中心/销售一部
30201,许悦,2026-03-09 09:21:56,A座-闸机,星云科技/技术平台中心/数据智能部
030401,华艳,2026-04-01 08:50:25,A座-闸机,用户增长/市场部
030213,周悦怡,2026-03-31 08:39:15,A座-闸机,星云科技/商业化中心/销售二部
030412,杨刚浩,2026-03-11 08:01:48,A座-闸机,星云科技/用户增长中心/市场部
30449,华宇娜,2026-04-01 08:30:23,A座-闸机,用户增长/市场部
30096,尤洋斌,2026-04-14 08:41:42,A座-闸机,技术平台中心/数据智能部
30144,孙悦,2026-03-02 08:16:22,A座-闸机,星云科技/技术平台中心/数据智能部
30348,韩平芳,2026-03-16 08:01:31,A座-闸机,星云科技/商业化中心/销售二部
30353,曹涛天,2026-03-23 10:33:03,A座-闸机,星云科技/商业化中心/销售二部
30068,朱萍,2026-04-15 10:22:21,A座-闸机,技术平台中心/应用研发部
30302,曹悦,2026-04-17 08:03:48,A座-闸机,商业化中心/销售二部
30145,吕芳,2026-04-07 09:56:54,A座-闸机,星云科技/技术平台中心/基础架构部
030200,陈欣明,2026-04-21 10:42:46,A座-闸机,技术平台中心/基础架构部
030108,吕晨,2026-03-03 10:26:43,A座-闸机,星云科技/技术平台/基础架构部
030346,赵磊,2026-03-27 09:07:07,A座-闸机,商业化中心/商业产品部
030292,吴晨天,2026-03-18 08:20:48,A座-闸机,星云科技/商业化中心/销售二部
30400,魏洋,2026-03-20 08:15:12,A座-闸机,星云科技/用户增长中心/内容运营部
30312,杨芳,2026-04-17 09:34:34,A座-闸机,商业化中心/销售二部
30029,何静强,2026-03-02 08:58:52,A座-闸机,星云科技/技术平台/基础架构部
030016,张静,2026-04-23 10:05:44,A座-闸机,星云科技/技术平台/应用研发部
030061,孙敏,2026-03-25 08:32:56,A座-闸机,星云科技/技术平台/数据智能部
030489,钱洋敏,2026-03-19 08:56:04,A座-闸机,星云科技/职能线/人力资源部
030167,张华秀,2026-04-21 08:59:24,A座-闸机,星云科技/技术平台中心/数据智能部
030211,严桂,2026-04-07 08:53:24,A座-闸机,星云科技/商业化中心/销售二部
030507,周桂,2026-03-31 08:28:59,A座-闸机,职能线/人力资源部
30076,蒋浩敏,2026-03-13 09:12:40,A座-闸机,星云科技/技术平台中心/基础架构部
030305,金宇志,2026-03-06 10:06:26,A座-闸机,星云科技/商业化中心/销售一部
30493,陈志斌,2026-03-12 09:05:42,A座-闸机,职能线/行政法务部
30426,褚平,2026-03-31 08:46:09,A座-闸机,星云科技/用户增长中心/市场部
30150,杨娜斌,2026-03-13 09:59:47,A座-闸机,星云科技/技术平台中心/基础架构部
30368,许玉磊,2026-03-03 10:07:38,A座-闸机,商业化中心/销售一部
030305,金宇志,2026-03-13 08:51:08,A座-闸机,星云科技/商业化中心/销售一部
30383,吕芳军,2026-04-08 08:10:39,A座-闸机,星云科技/用户增长中心/市场部
030506,金桂娜,2026-03-23 10:33:33,A座-闸机,职能线/财务部
30102,姜曦涛,2026-04-30 09:04:40,A座-闸机,技术平台中心/基础架构部
030140,李娟,2026-03-20 09:09:02,A座-闸机,技术平台中心/数据智能部
030053,朱勇悦,2026-03-23 09:27:10,A座-闸机,星云科技/技术平台/数据智能部
30144,孙悦,2026-03-04 10:56:24,A座-闸机,星云科技/技术平台/数据智能部
030307,李悦,2026-04-07 09:26:38,A座-闸机,星云科技/商业化中心/商业产品部
30132,郑娜英,2026-03-25 09:07:46,A座-闸机,技术平台中心/数据智能部
30517,陈秀红,2026-04-26 09:25:00,A座-闸机,星云科技/职能线/人力资源部
030304,卫娜,2026-04-01 09:43:17,A座-闸机,星云科技/商业化中心/销售一部
030067,韩明,2026-04-01 09:20:16,A座-闸机,技术平台中心/应用研发部
030184,褚平,2026-04-14 08:57:57,A座-闸机,星云科技/技术平台/应用研发部
030165,吴怡,2026-04-01 09:17:43,A座-闸机,技术平台中心/数据智能部
030059,华平,2026-04-02 08:04:45,A座-闸机,星云科技/技术平台中心/基础架构部
30478,张娟,2026-03-13 09:11:56,A座-闸机,星云科技/职能线/财务部
030408,朱明志,2026-03-18 09:44:23,A座-闸机,用户增长/内容运营部
30380,孔勇,2026-04-13 08:30:40,A座-闸机,星云科技/用户增长中心/内容运营部
30239,褚军,2026-04-07 08:27:17,A座-闸机,星云科技/商业化中心/商业产品部
30361,褚秀曦,2026-04-14 08:10:17,A座-闸机,商业化中心/销售二部
30061,孙敏,2026-04-28 08:41:55,A座-闸机,星云科技/技术平台中心/数据智能部
030272,钱华,2026-04-29 09:16:05,A座-闸机,商业化中心/销售一部
30523,周强,2026-03-22 10:41:00,A座-闸机,星云科技/职能线
030483,卫磊,2026-03-24 09:38:19,A座-闸机,职能线/人力资源部
30025,沈欣娟,2026-04-15 10:44:41,A座-闸机,星云科技/技术平台/基础架构部
30236,张红秀,2026-04-29 09:07:21,A座-闸机,星云科技/商业化中心/销售一部
030367,魏玉悦,2026-03-23 10:56:38,A座-闸机,商业化中心/商业产品部
030359,张红,2026-03-13 10:45:49,A座-闸机,商业化中心/销售一部
30288,韩敏,2026-04-24 10:35:24,A座-闸机,星云科技/商业化中心/商业产品部
30432,孔艳,2026-04-27 08:41:41,A座-闸机,用户增长/市场部
030409,冯英磊,2026-03-06 10:36:34,A座-闸机,用户增长/市场部
030167,张华秀,2026-04-22 10:16:11,A座-闸机,星云科技/技术平台中心/数据智能部
30176,张浩英,2026-03-31 08:33:46,A座-闸机,星云科技/技术平台中心/基础架构部
30357,李霞,2026-03-02 09:15:11,A座-闸机,商业化中心/销售一部
30108,吕晨,2026-03-11 10:03:59,A座-闸机,星云科技/技术平台/基础架构部
30381,张玉霞,2026-03-24 09:33:13,A座-闸机,用户增长/内容运营部
030452,钱桂,2026-03-25 08:47:32,A座-闸机,星云科技/用户增长中心/市场部
030037,朱娜,2026-03-16 08:43:24,A座-闸机,技术平台中心/应用研发部
30399,姜娜,2026-04-15 08:04:20,A座-闸机,用户增长/市场部
030381,张玉霞,2026-04-09 08:06:52,A座-闸机,星云科技/用户增长中心/内容运营部
30093,卫萍怡,2026-03-24 10:36:31,A座-闸机,技术平台中心/基础架构部
30184,褚平,2026-03-23 10:50:14,A座-闸机,星云科技/技术平台中心/应用研发部
30491,张刚,2026-04-27 09:02:28,A座-闸机,星云科技/职能线/财务部
30400,魏洋,2026-04-16 10:46:54,A座-闸机,星云科技/用户增长中心/内容运营部
30149,施敏磊,2026-04-03 08:23:44,A座-闸机,星云科技/技术平台中心/基础架构部
030087,褚杰,2026-03-27 09:57:17,A座-闸机,技术平台中心/应用研发部
030135,卫明,2026-04-28 08:19:51,A座-闸机,星云科技/技术平台/基础架构部
30293,冯敏伟,2026-03-03 09:17:24,A座-闸机,商业化中心/销售二部
30435,施兰,2026-04-06 10:19:49,A座-闸机,用户增长/市场部
030025,沈欣娟,2026-03-20 08:21:05,A座-闸机,技术平台中心/基础架构部
30184,褚平,2026-04-08 08:27:48,A座-闸机,星云科技/技术平台中心/应用研发部
30137,王华天,2026-03-23 10:38:51,A座-闸机,星云科技/技术平台/数据智能部
30257,魏秀,2026-03-27 09:58:58,A座-闸机,商业化中心/商业产品部
30162,何丽伟,2026-04-23 10:24:50,A座-闸机,星云科技/技术平台/应用研发部
30142,秦明萍,2026-03-25 09:23:36,A座-闸机,技术平台中心/数据智能部
30479,尤娟,2026-03-26 10:21:04,A座-闸机,职能线/行政法务部
30022,魏娟桂,2026-03-09 08:31:43,A座-闸机,星云科技/技术平台中心/应用研发部
30316,曹晨,2026-04-14 08:31:52,A座-闸机,星云科技/商业化中心/商业产品部
30223,郑志,2026-03-11 10:21:48,A座-闸机,星云科技/商业化中心/销售二部
030116,吴娟洋,2026-03-26 10:17:19,A座-闸机,星云科技/技术平台中心/应用研发部
30194,陈志,2026-04-27 10:31:20,A座-闸机,星云科技/技术平台中心/数据智能部
030180,尤强,2026-03-23 09:19:51,A座-闸机,技术平台中心/数据智能部
030423,李平,2026-03-18 09:32:50,A座-闸机,用户增长/市场部
030250,施洋红,2026-03-13 09:30:04,A座-闸机,星云科技/商业化中心/销售二部
30247,陶玉,2026-03-27 08:57:24,A座-闸机,商业化中心/商业产品部
030513,杨娜桂,2026-03-30 09:04:24,A座-闸机,星云科技/职能线/财务部
030355,陶军,2026-04-27 10:39:41,A座-闸机,商业化中心/商业产品部
30174,李丽刚,2026-03-25 10:02:13,A座-闸机,技术平台中心/应用研发部
30413,韩刚秀,2026-03-04 10:23:12,A座-闸机,用户增长/内容运营部
30443,陈艳勇,2026-04-27 10:09:23,A座-闸机,用户增长/市场部
030098,孙刚悦,2026-03-19 08:11:48,A座-闸机,星云科技/技术平台中心/应用研发部
30301,华艳伟,2026-03-16 09:52:02,A座-闸机,商业化中心/商业产品部
30468,王志,2026-04-27 09:20:49,A座-闸机,职能线/行政法务部
30136,孔军萍,2026-04-01 08:33:44,A座-闸机,星云科技/技术平台中心/应用研发部
030127,吕秀,2026-04-21 10:19:57,A座-闸机,星云科技/技术平台中心/应用研发部
030140,李娟,2026-04-20 09:59:11,A座-闸机,技术平台中心/数据智能部
30113,尤娜超,2026-03-05 08:57:53,A座-闸机,星云科技/技术平台中心/基础架构部
30139,郑敏兰,2026-03-23 09:54:56,A座-闸机,星云科技/技术平台/数据智能部
30128,金浩晨,2026-04-24 09:56:50,A座-闸机,星云科技/技术平台/基础架构部
030543,施芳,2026-04-01 09:39:03,A座-闸机,职能线/人力资源部
030195,秦浩勇,2026-03-18 09:06:31,A座-闸机,星云科技/技术平台中心/基础架构部
30041,孙刚,2026-04-21 09:44:24,A座-闸机,星云科技/技术平台/数据智能部
30300,郑娟,2026-03-02 10:17:29,A座-闸机,商业化中心/销售二部
30368,许玉磊,2026-03-16 08:39:55,A座-闸机,商业化中心/销售一部
030059,华平,2026-03-02 08:53:28,A座-闸机,星云科技/技术平台/基础架构部
30030,钱刚,2026-04-27 09:14:38,A座-闸机,星云科技/技术平台中心/应用研发部
30087,褚杰,2026-04-22 08:34:30,A座-闸机,星云科技/技术平台/应用研发部
30373,郑军,2026-04-08 08:42:05,A座-闸机,用户增长/内容运营部
30180,尤强,2026-03-12 09:26:59,A座-闸机,技术平台中心/数据智能部
30137,王华天,2026-03-30 09:09:22,A座-闸机,星云科技/技术平台/数据智能部
030345,李宇,2026-03-25 08:56:25,A座-闸机,商业化中心/销售一部
30251,韩平艳,2026-04-13 09:11:50,A座-闸机,星云科技/商业化中心/销售二部
030214,孙悦,2026-03-05 10:36:56,A座-闸机,星云科技/商业化中心/销售二部
030275,吴娟娟,2026-03-24 08:58:01,A座-闸机,商业化中心/销售一部
30179,李红娜,2026-03-30 10:39:50,A座-闸机,星云科技/技术平台/基础架构部
30036,严勇杰,2026-03-25 09:11:06,A座-闸机,星云科技/技术平台中心/基础架构部
030516,施强,2026-03-10 08:08:46,A座-闸机,职能线/人力资源部
30552,郑敏,2026-04-07 10:49:30,A座-闸机,星云科技/技术平台/应用研发部
30262,严娟,2026-04-10 10:36:33,A座-闸机,星云科技/商业化中心/销售一部
30469,尤斌芳,2026-04-07 09:10:04,A座-闸机,职能线/行政法务部
30016,张静,2026-03-03 09:51:21,A座-闸机,技术平台中心/应用研发部
30204,钱杰强,2026-03-19 10:28:02,A座-闸机,技术平台中心/应用研发部
