工号,姓名,一级部门,二级部门,职能类别,层级
30045,魏勇,技术平台中心,基础架构部,技术,P5
30046,沈刚丽,技术平台中心,应用研发部,技术,P7
30047,吴宇秀,技术平台中心,基础架构部,技术,P7
30048,李浩超,技术平台中心,数据智能部,技术,P4
30049,冯军,技术平台中心,应用研发部,技术,P7
30050,金平磊,技术平台中心,数据智能部,技术,M1
30051,杨萍华,技术平台中心,基础架构部,技术,M2
30052,陶平,技术平台中心,基础架构部,技术,P7
30053,朱勇悦,技术平台中心,数据智能部,技术,P7
30054,张英,技术平台中心,数据智能部,技术,M1
30055,钱敏,技术平台中心,应用研发部,技术,P4
30056,蒋平,技术平台中心,应用研发部,技术,M2
30057,郑涛浩,技术平台中心,基础架构部,技术,M2
30058,吕敏洋,技术平台中心,应用研发部,技术,P7
30059,华平,技术平台中心,基础架构部,技术,M2
30060,赵超,技术平台中心,基础架构部,技术,P6
30061,孙敏,技术平台中心,数据智能部,技术,P6
30062,陶伟斌,技术平台中心,基础架构部,技术,M2
30063,华宇,技术平台中心,应用研发部,技术,M2
30065,秦悦欣,技术平台中心,应用研发部,技术,M2
30066,秦丽晨,技术平台中心,应用研发部,技术,P4
30067,韩明,技术平台中心,应用研发部,技术,P4
30068,朱萍,技术平台中心,应用研发部,技术,P4
30069,曹艳,技术平台中心,应用研发部,技术,P6
30070,朱晨平,技术平台中心,应用研发部,技术,P6
30071,吕超华,技术平台中心,应用研发部,技术,M2
30072,何军英,技术平台中心,数据智能部,技术,P7
30073,严红芳,技术平台中心,数据智能部,技术,P5
30074,许艳宇,技术平台中心,基础架构部,技术,P4
30075,施娟伟,技术平台中心,数据智能部,技术,P7
30076,蒋浩敏,技术平台中心,基础架构部,技术,P5
30077,卫平,技术平台中心,数据智能部,技术,M1
30078,华曦,技术平台中心,基础架构部,技术,P7
30079,卫刚,技术平台中心,应用研发部,技术,P6
30080,张洋,技术平台中心,基础架构部,技术,P7
30081,沈伟,技术平台中心,应用研发部,技术,M2
30082,陶艳刚,技术平台中心,基础架构部,技术,M1
30083,张宇宇,技术平台中心,数据智能部,技术,P6
30084,李兰,技术平台中心,应用研发部,技术,P6
30085,秦涛,技术平台中心,数据智能部,技术,P5
30086,韩浩怡,技术平台中心,基础架构部,技术,P7
30087,褚杰,技术平台中心,应用研发部,技术,P5
30088,许敏敏,技术平台中心,基础架构部,技术,P6
30089,曹欣,技术平台中心,应用研发部,技术,P5
30090,韩磊宇,技术平台中心,应用研发部,技术,P6
30091,施萍,技术平台中心,基础架构部,技术,P5
30092,褚丽,技术平台中心,应用研发部,技术,P5
30093,卫萍怡,技术平台中心,基础架构部,技术,P7
30094,施强欣,技术平台中心,数据智能部,技术,P5
30095,金桂,技术平台中心,应用研发部,技术,P6
30096,尤洋斌,技术平台中心,数据智能部,技术,M1
30097,魏娜,技术平台中心,数据智能部,技术,P7
30098,孙刚悦,技术平台中心,应用研发部,技术,P6
30099,何悦天,技术平台中心,数据智能部,技术,M2
30100,施娟,技术平台中心,数据智能部,技术,P7
30101,李丽艳,技术平台中心,应用研发部,技术,P4
30102,姜曦涛,技术平台中心,基础架构部,技术,P5
30103,沈刚悦,技术平台中心,应用研发部,技术,P6
30104,钱明,技术平台中心,数据智能部,技术,P5
30105,郑明洋,技术平台中心,应用研发部,技术,P7
30106,施英,技术平台中心,数据智能部,技术,M2
30107,冯曦静,技术平台中心,应用研发部,技术,M2
30108,吕晨,技术平台中心,基础架构部,技术,P6
30109,孙玉,技术平台中心,应用研发部,技术,P6
30110,王磊,技术平台中心,应用研发部,技术,P7
30111,蒋斌娟,技术平台中心,基础架构部,技术,M1
30112,陈天军,技术平台中心,基础架构部,技术,P6
30113,尤娜超,技术平台中心,基础架构部,技术,P6
30114,陶怡,技术平台中心,基础架构部,技术,P4
30115,沈红欣,技术平台中心,基础架构部,技术,P5
30116,吴娟洋,技术平台中心,应用研发部,技术,P7
30117,许天伟,技术平台中心,应用研发部,技术,P6
30118,冯兰,技术平台中心,数据智能部,技术,P7
30119,孔欣,技术平台中心,基础架构部,技术,P4
30120,吴霞涛,技术平台中心,基础架构部,技术,M2
30121,陶怡,技术平台中心,基础架构部,技术,M2
30122,郑强浩,技术平台中心,基础架构部,技术,P6
30123,孙英,技术平台中心,数据智能部,技术,M1
30124,曹芳,技术平台中心,应用研发部,技术,P4
30125,蒋超,技术平台中心,应用研发部,技术,P6
30126,蒋磊志,技术平台中心,应用研发部,技术,M2
30127,吕秀,技术平台中心,应用研发部,技术,P6
30128,金浩晨,技术平台中心,基础架构部,技术,P7
30129,沈娜,技术平台中心,数据智能部,技术,M1
30130,张晨悦,技术平台中心,数据智能部,技术,P6
30131,孙杰,技术平台中心,数据智能部,技术,M1
30132,郑娜英,技术平台中心,数据智能部,技术,P7
30133,褚华,技术平台中心,数据智能部,技术,P7
30134,王超玉,技术平台中心,数据智能部,技术,P7
30135,卫明,技术平台中心,基础架构部,技术,P4
30136,孔军萍,技术平台中心,应用研发部,技术,P6
30137,王华天,技术平台中心,数据智能部,技术,P4
30138,钱娟,技术平台中心,应用研发部,技术,P4
30139,郑敏兰,技术平台中心,数据智能部,技术,P7
30140,李娟,技术平台中心,数据智能部,技术,P6
30141,魏强,技术平台中心,基础架构部,技术,P4
30142,秦明萍,技术平台中心,数据智能部,技术,P7
30143,曹浩娜,技术平台中心,应用研发部,技术,P5
30144,孙悦,技术平台中心,数据智能部,技术,P7
30145,吕芳,技术平台中心,基础架构部,技术,P6
30146,魏晨悦,技术平台中心,数据智能部,技术,P4
30147,陶涛,技术平台中心,数据智能部,技术,M1
30148,王丽斌,技术平台中心,应用研发部,技术,P6
30149,施敏磊,技术平台中心,基础架构部,技术,M2
30150,杨娜斌,技术平台中心,基础架构部,技术,P4
30151,魏天,技术平台中心,数据智能部,技术,P5
30152,郑明娜,技术平台中心,应用研发部,技术,P7
30153,赵霞红,技术平台中心,数据智能部,技术,P4
30154,沈平芳,技术平台中心,应用研发部,技术,M1
30155,陶超,技术平台中心,应用研发部,技术,P5
30156,秦桂英,技术平台中心,应用研发部,技术,P7
30157,陶曦,技术平台中心,应用研发部,技术,P6
30158,姜华,技术平台中心,数据智能部,技术,P6
30159,吴华兰,技术平台中心,应用研发部,技术,P6
30160,卫兰,技术平台中心,基础架构部,技术,P6
30161,陈超,技术平台中心,数据智能部,技术,M1
30162,何丽伟,技术平台中心,应用研发部,技术,P5
30163,蒋艳娟,技术平台中心,应用研发部,技术,P7
30164,许军,技术平台中心,应用研发部,技术,M1
30165,吴怡,技术平台中心,数据智能部,技术,M1
30166,魏超,技术平台中心,应用研发部,技术,M1
30167,张华秀,技术平台中心,数据智能部,技术,P5
30168,陶磊,技术平台中心,基础架构部,技术,P7
30169,秦萍,技术平台中心,数据智能部,技术,M2
30170,严超志,技术平台中心,基础架构部,技术,M1
30171,褚芳,技术平台中心,基础架构部,技术,P4
30172,陈霞,技术平台中心,基础架构部,技术,P6
30173,何兰红,技术平台中心,数据智能部,技术,M1
30174,李丽刚,技术平台中心,应用研发部,技术,P4
30175,许宇强,技术平台中心,基础架构部,技术,P6
30176,张浩英,技术平台中心,基础架构部,技术,P6
30177,朱超,技术平台中心,数据智能部,技术,M1
30178,卫霞怡,技术平台中心,数据智能部,技术,M1
30179,李红娜,技术平台中心,基础架构部,技术,P5
30180,尤强,技术平台中心,数据智能部,技术,P4
30181,杨秀,技术平台中心,应用研发部,技术,M2
30182,陶兰晨,技术平台中心,基础架构部,技术,M1
30183,王玉,技术平台中心,基础架构部,技术,P5
30184,褚平,技术平台中心,应用研发部,技术,P4
30185,王秀芳,技术平台中心,基础架构部,技术,M1
30186,蒋华杰,技术平台中心,应用研发部,技术,M2
30187,孙超,技术平台中心,数据智能部,技术,M1
30188,李英,技术平台中心,应用研发部,技术,P5
30189,朱曦曦,技术平台中心,应用研发部,技术,P4
30190,吕欣静,技术平台中心,应用研发部,技术,P5
30192,秦军娟,技术平台中心,基础架构部,技术,P5
30194,陈志,技术平台中心,数据智能部,技术,P7
30195,秦浩勇,技术平台中心,基础架构部,技术,M1
30196,姜华艳,技术平台中心,应用研发部,技术,P6
30197,陈浩秀,技术平台中心,应用研发部,技术,M2
30198,褚杰,技术平台中心,数据智能部,技术,P6
30199,沈曦怡,技术平台中心,数据智能部,技术,P7
30200,陈欣明,技术平台中心,基础架构部,技术,P5
30201,许悦,技术平台中心,数据智能部,技术,P4
30202,陈萍杰,技术平台中心,数据智能部,技术,M1
30203,韩芳,技术平台中心,应用研发部,技术,M1
30204,钱杰强,技术平台中心,应用研发部,技术,M2
30205,蒋志静,技术平台中心,基础架构部,技术,P5
30206,金勇志,技术平台中心,基础架构部,技术,M1
30207,秦强志,技术平台中心,基础架构部,技术,P4
30208,华秀伟,技术平台中心,应用研发部,技术,M2
30209,陶斌娜,技术平台中心,应用研发部,技术,P6
30210,尤艳萍,技术平台中心,基础架构部,技术,P6
30211,严桂,商业化中心,销售二部,销售,P5
30212,魏平静,商业化中心,销售一部,销售,P5
30213,周悦怡,商业化中心,销售二部,销售,P6
30214,孙悦,商业化中心,销售二部,销售,M1
30216,何欣,商业化中心,销售二部,销售,P5
30217,张秀秀,商业化中心,销售一部,销售,P6
30218,姜英超,商业化中心,商业产品部,销售,P6
30219,郑玉,商业化中心,销售二部,销售,P6
30220,施强,商业化中心,商业产品部,销售,M1
30221,郑欣,商业化中心,商业产品部,销售,P7
30222,张静,商业化中心,商业产品部,销售,M1
30223,郑志,商业化中心,销售二部,销售,P4
30224,钱欣刚,商业化中心,销售一部,销售,P7
30225,赵静浩,商业化中心,销售一部,销售,P7
30226,施刚斌,商业化中心,销售一部,销售,M2
30227,韩勇玉,商业化中心,商业产品部,销售,M1
30228,金秀,商业化中心,销售一部,销售,P6
30229,陶娜,商业化中心,销售一部,销售,M1
30230,施洋敏,商业化中心,销售二部,销售,M1
30231,王英兰,商业化中心,商业产品部,销售,P7
30232,周军浩,商业化中心,商业产品部,销售,M2
30233,郑桂娜,商业化中心,销售二部,销售,M2
30234,施英霞,商业化中心,商业产品部,销售,P4
30236,张红秀,商业化中心,销售一部,销售,P4
30237,秦曦,商业化中心,商业产品部,销售,P6
30238,许怡,商业化中心,销售一部,销售,P6
30239,褚军,商业化中心,商业产品部,销售,P5
30240,何华涛,商业化中心,销售一部,销售,M2
30241,尤磊秀,商业化中心,销售一部,销售,P4
30242,张桂,商业化中心,销售二部,销售,P5
30243,施伟曦,商业化中心,销售二部,销售,M1
30244,曹悦曦,商业化中心,商业产品部,销售,M1
30245,陈丽艳,商业化中心,商业产品部,销售,P4
30246,陈娜英,商业化中心,销售二部,销售,M2
30247,陶玉,商业化中心,商业产品部,销售,M2
30248,曹华,商业化中心,销售一部,销售,M2
30249,吕怡,商业化中心,销售二部,销售,M1
30250,施洋红,商业化中心,销售二部,销售,P4
30251,韩平艳,商业化中心,销售二部,销售,P6
30252,陶娟,商业化中心,商业产品部,销售,M1
30253,赵磊勇,商业化中心,销售二部,销售,P6
30254,褚芳,商业化中心,销售二部,销售,M1
30255,陈英磊,商业化中心,销售二部,销售,P5
30256,金志霞,商业化中心,销售一部,销售,M2
30257,魏秀,商业化中心,商业产品部,销售,P6
30258,孙静斌,商业化中心,商业产品部,销售,P6
30259,魏怡斌,商业化中心,销售一部,销售,P7
30260,孙英桂,商业化中心,销售一部,销售,P5
30261,严磊静,商业化中心,销售一部,销售,P5
30262,严娟,商业化中心,销售一部,销售,P7
30263,赵兰强,商业化中心,销售一部,销售,M2
30264,吴玉,商业化中心,销售二部,销售,P4
30265,钱秀,商业化中心,销售二部,销售,P4
30266,秦娟勇,商业化中心,商业产品部,销售,P7
30267,王军,商业化中心,销售二部,销售,M2
30268,杨欣娜,商业化中心,销售一部,销售,M1
30269,许强玉,商业化中心,商业产品部,销售,P7
30270,许刚华,商业化中心,销售二部,销售,P7
30271,沈军玉,商业化中心,销售二部,销售,M2
30272,钱华,商业化中心,销售一部,销售,P6
30273,何曦敏,商业化中心,销售二部,销售,P5
30274,杨丽,商业化中心,商业产品部,销售,P4
30275,吴娟娟,商业化中心,销售一部,销售,P5
30276,周晨,商业化中心,商业产品部,销售,P7
30277,冯悦,商业化中心,销售一部,销售,P4
30278,周英娜,商业化中心,销售二部,销售,P6
30279,吴宇,商业化中心,销售二部,销售,P7
30280,杨杰宇,商业化中心,商业产品部,销售,P7
30281,王悦超,商业化中心,销售一部,销售,P5
30282,沈洋伟,商业化中心,销售二部,销售,P7
30283,许华军,商业化中心,销售一部,销售,P7
30284,李宇,商业化中心,销售一部,销售,P5
30285,尤勇丽,商业化中心,销售一部,销售,P6
30287,施斌娟,商业化中心,销售二部,销售,M1
30288,韩敏,商业化中心,商业产品部,销售,P6
30289,李敏,商业化中心,销售二部,销售,P6
30290,钱晨涛,商业化中心,销售一部,销售,M2
30291,许娜,商业化中心,商业产品部,销售,P4
30292,吴晨天,商业化中心,销售二部,销售,P7
30293,冯敏伟,商业化中心,销售二部,销售,P6
30294,吕玉晨,商业化中心,商业产品部,销售,P5
30295,王芳军,商业化中心,商业产品部,销售,P6
30296,何艳洋,商业化中心,商业产品部,销售,P7
30297,秦浩,商业化中心,商业产品部,销售,P4
30298,韩静明,商业化中心,销售一部,销售,P5
30299,钱丽,商业化中心,销售二部,销售,P5
30300,郑娟,商业化中心,销售二部,销售,P5
30301,华艳伟,商业化中心,商业产品部,销售,P5
30302,曹悦,商业化中心,销售二部,销售,M2
30303,孙宇,商业化中心,商业产品部,销售,M2
30304,卫娜,商业化中心,销售一部,销售,P4
30305,金宇志,商业化中心,销售一部,销售,M2
30306,华敏芳,商业化中心,销售一部,销售,P4
30307,李悦,商业化中心,商业产品部,销售,P4
30308,尤娜英,商业化中心,销售二部,销售,M2
30309,许浩敏,商业化中心,销售一部,销售,M1
30310,褚丽,商业化中心,销售二部,销售,P5
30311,钱娜,商业化中心,销售一部,销售,M1
30312,杨芳,商业化中心,销售二部,销售,P4
30313,许娟明,商业化中心,商业产品部,销售,M2
30314,王志敏,商业化中心,销售一部,销售,P6
30315,沈天,商业化中心,销售二部,销售,P6
30316,曹晨,商业化中心,商业产品部,销售,P6
30318,何秀,商业化中心,销售二部,销售,P7
30319,王芳,商业化中心,销售二部,销售,P5
30320,华悦,商业化中心,销售一部,销售,P6
30321,王斌,商业化中心,商业产品部,销售,M1
30322,钱涛,商业化中心,销售二部,销售,P7
30323,秦杰晨,商业化中心,商业产品部,销售,P4
30324,褚霞晨,商业化中心,销售二部,销售,P4
30325,钱萍敏,商业化中心,销售二部,销售,P7
30326,尤勇,商业化中心,销售一部,销售,P6
30327,尤芳,商业化中心,销售一部,销售,P6
30328,秦浩志,商业化中心,销售二部,销售,M1
30329,秦玉,商业化中心,销售一部,销售,P6
30330,魏军超,商业化中心,销售一部,销售,P4
30331,秦明静,商业化中心,销售一部,销售,P4
30332,何欣,商业化中心,商业产品部,销售,P4
30333,施平,商业化中心,商业产品部,销售,P6
30334,沈洋勇,商业化中心,销售二部,销售,P4
30335,吕斌曦,商业化中心,商业产品部,销售,P7
30336,孔欣,商业化中心,商业产品部,销售,P4
30337,许明华,商业化中心,销售一部,销售,P4
30338,陈悦勇,商业化中心,商业产品部,销售,P7
30339,李静勇,商业化中心,销售二部,销售,M2
30340,施秀洋,商业化中心,商业产品部,销售,M1
30341,秦芳,商业化中心,销售一部,销售,P5
30342,秦娜,商业化中心,销售一部,销售,P4
30343,李欣娜,商业化中心,销售二部,销售,P6
30344,曹志,商业化中心,销售二部,销售,P4
30345,李宇,商业化中心,销售一部,销售,P5
30347,魏萍涛,商业化中心,销售一部,销售,M2
30348,韩平芳,商业化中心,销售二部,销售,P6
30349,褚杰,商业化中心,销售二部,销售,P6
30350,尤杰,商业化中心,销售一部,销售,M2
30351,赵天英,商业化中心,商业产品部,销售,M1
30352,吴军,商业化中心,销售一部,销售,P5
30353,曹涛天,商业化中心,销售二部,销售,M2
30355,陶军,商业化中心,商业产品部,销售,M2
30356,施娟,商业化中心,商业产品部,销售,M1
30357,李霞,商业化中心,销售一部,销售,P7
30358,许娟曦,商业化中心,销售二部,销售,P5
30359,张红,商业化中心,销售一部,销售,P4
30360,曹浩,商业化中心,商业产品部,销售,P7
30361,褚秀曦,商业化中心,销售二部,销售,P5
30362,曹杰敏,商业化中心,销售二部,销售,M1
30363,郑秀磊,商业化中心,销售一部,销售,M2
30364,王英怡,商业化中心,销售二部,销售,M2
30365,陶强霞,商业化中心,商业产品部,销售,P5
30366,陈志,商业化中心,销售一部,销售,M2
30367,魏玉悦,商业化中心,商业产品部,销售,P4
30368,许玉磊,商业化中心,销售一部,销售,P7
30369,孔悦刚,商业化中心,商业产品部,销售,P7
30370,沈芳丽,商业化中心,商业产品部,销售,P7
30371,张丽,用户增长中心,市场部,运营,M2
30372,韩华斌,用户增长中心,内容运营部,运营,M1
30373,郑军,用户增长中心,内容运营部,运营,P6
30374,严桂敏,用户增长中心,市场部,运营,P7
30375,杨怡强,用户增长中心,市场部,运营,M1
30376,姜娜,用户增长中心,内容运营部,运营,P4
30377,周磊,用户增长中心,内容运营部,运营,P4
30378,魏芳刚,用户增长中心,市场部,运营,M1
30379,陈萍,用户增长中心,内容运营部,运营,P6
30380,孔勇,用户增长中心,内容运营部,运营,P6
30381,张玉霞,用户增长中心,内容运营部,运营,M1
30382,卫强英,用户增长中心,内容运营部,运营,P4
30383,吕芳军,用户增长中心,市场部,运营,M1
30384,魏强斌,用户增长中心,市场部,运营,M1
30385,王敏,用户增长中心,市场部,运营,P7
30386,钱志,用户增长中心,市场部,运营,M2
30387,吕磊涛,用户增长中心,市场部,运营,M2
30388,姜伟,用户增长中心,市场部,运营,P6
30389,冯曦曦,用户增长中心,市场部,运营,M2
30390,朱霞,用户增长中心,市场部,运营,M1
30391,褚平刚,用户增长中心,内容运营部,运营,M2
30392,李英,用户增长中心,内容运营部,运营,M1
30393,孙勇军,用户增长中心,内容运营部,运营,M2
30394,沈伟,用户增长中心,市场部,运营,P4
30395,韩明涛,用户增长中心,市场部,运营,P6
30396,朱艳,用户增长中心,市场部,运营,M2
30397,王伟,用户增长中心,市场部,运营,P5
30398,陈桂,用户增长中心,市场部,运营,M1
30399,姜娜,用户增长中心,市场部,运营,P7
30400,魏洋,用户增长中心,内容运营部,运营,M1
30401,华艳,用户增长中心,市场部,运营,P5
30402,秦曦,用户增长中心,内容运营部,运营,P5
30403,曹曦,用户增长中心,市场部,运营,P6
30404,郑悦,用户增长中心,内容运营部,运营,M2
30405,吴明,用户增长中心,市场部,运营,P5
30406,沈涛,用户增长中心,内容运营部,运营,M1
30407,吕兰浩,用户增长中心,内容运营部,运营,P6
30408,朱明志,用户增长中心,内容运营部,运营,M2
30409,冯英磊,用户增长中心,市场部,运营,M2
30410,钱宇桂,用户增长中心,市场部,运营,P6
30411,孔玉平,用户增长中心,内容运营部,运营,M2
30412,杨刚浩,用户增长中心,市场部,运营,P5
30413,韩刚秀,用户增长中心,内容运营部,运营,M2
30414,褚强,用户增长中心,内容运营部,运营,P5
30415,张杰宇,用户增长中心,市场部,运营,P6
30416,钱英玉,用户增长中心,市场部,运营,M2
30417,李磊伟,用户增长中心,内容运营部,运营,P7
30418,陈敏,用户增长中心,内容运营部,运营,P7
30419,陶桂杰,用户增长中心,内容运营部,运营,P7
30420,吕娜,用户增长中心,内容运营部,运营,M2
30421,许秀英,用户增长中心,市场部,运营,P5
30422,卫强悦,用户增长中心,内容运营部,运营,P7
30423,李平,用户增长中心,市场部,运营,P7
30424,杨明超,用户增长中心,内容运营部,运营,P5
30425,尤涛丽,用户增长中心,内容运营部,运营,M2
30426,褚平,用户增长中心,市场部,运营,P6
30427,严丽磊,用户增长中心,内容运营部,运营,M1
30428,陶丽英,用户增长中心,内容运营部,运营,M2
30429,华娜,用户增长中心,内容运营部,运营,M2
30430,钱英晨,用户增长中心,内容运营部,运营,M1
30431,金志秀,用户增长中心,市场部,运营,M2
30432,孔艳,用户增长中心,市场部,运营,P5
30433,严娟,用户增长中心,市场部,运营,M1
30434,张红,用户增长中心,市场部,运营,P4
30435,施兰,用户增长中心,市场部,运营,M2
30436,许刚,用户增长中心,市场部,运营,P4
30437,韩志,用户增长中心,内容运营部,运营,M2
30438,魏敏曦,用户增长中心,内容运营部,运营,P6
30439,郑华欣,用户增长中心,市场部,运营,P4
30440,周强晨,用户增长中心,市场部,运营,P7
30441,陈涛,用户增长中心,市场部,运营,M2
30442,陶萍,用户增长中心,市场部,运营,P6
30443,陈艳勇,用户增长中心,市场部,运营,P4
30444,张曦,用户增长中心,内容运营部,运营,P4
30445,施天,用户增长中心,市场部,运营,P5
30446,周涛,用户增长中心,市场部,运营,P7
30447,许伟曦,用户增长中心,市场部,运营,P4
30448,吴娜,用户增长中心,内容运营部,运营,M1
30449,华宇娜,用户增长中心,市场部,运营,P6
30450,魏明芳,用户增长中心,市场部,运营,M1
30451,孙兰,用户增长中心,市场部,运营,P6
30452,钱桂,用户增长中心,市场部,运营,M2
30453,卫洋,用户增长中心,内容运营部,运营,M2
30454,姜艳明,用户增长中心,市场部,运营,P4
30455,孙敏,用户增长中心,市场部,运营,M1
30456,孙娟娜,用户增长中心,市场部,运营,P7
30457,周丽,用户增长中心,内容运营部,运营,M2
30458,杨娟涛,用户增长中心,市场部,运营,P6
30459,魏娜平,用户增长中心,市场部,运营,P5
30460,金丽,用户增长中心,内容运营部,运营,P6
30461,赵平丽,职能线,人力资源部,职能,P4
30462,严娜,职能线,人力资源部,职能,M1
30463,吴勇强,职能线,人力资源部,职能,P6
30464,王玉曦,职能线,人力资源部,职能,P4
30465,韩悦娟,职能线,人力资源部,职能,M1
30466,魏志志,职能线,行政法务部,职能,M2
30467,姜红芳,职能线,行政法务部,职能,M2
30468,王志,职能线,行政法务部,职能,M1
30469,尤斌芳,职能线,行政法务部,职能,P6
30470,孙志,职能线,财务部,职能,M2
30471,孙秀刚,职能线,人力资源部,职能,P5
30473,何磊,职能线,财务部,职能,P6
30474,姜桂志,职能线,人力资源部,职能,P6
30475,施娟洋,职能线,财务部,职能,P4
30476,王洋,职能线,人力资源部,职能,P5
30477,孙宇,职能线,财务部,职能,P4
30478,张娟,职能线,财务部,职能,P4
30479,尤娟,职能线,行政法务部,职能,M2
30480,陶敏,职能线,人力资源部,职能,M1
30481,秦强,职能线,行政法务部,职能,P4
30482,李丽,职能线,财务部,职能,P4
30483,卫磊,职能线,人力资源部,职能,P6
30484,卫军,职能线,行政法务部,职能,M1
30485,朱天静,职能线,人力资源部,职能,P6
30486,秦静,职能线,财务部,职能,P7
30487,朱悦,职能线,行政法务部,职能,P6
30488,姜涛悦,职能线,行政法务部,职能,P5
30489,钱洋敏,职能线,人力资源部,职能,P7
30490,吕娟晨,职能线,行政法务部,职能,M2
30491,张刚,职能线,财务部,职能,P6
30492,吴超,职能线,人力资源部,职能,M1
30493,陈志斌,职能线,行政法务部,职能,P7
30494,华平,职能线,财务部,职能,P5
30495,魏磊悦,职能线,人力资源部,职能,P4
30496,曹斌华,职能线,行政法务部,职能,M2
30497,沈红敏,职能线,行政法务部,职能,M2
30498,杨娜艳,职能线,行政法务部,职能,P6
30499,吴萍,职能线,人力资源部,职能,M2
30500,金晨芳,职能线,行政法务部,职能,P6
30501,李刚,职能线,财务部,职能,P6
30502,吕刚,职能线,财务部,职能,P7
30503,李娜,职能线,人力资源部,职能,P5
30504,褚红娜,职能线,人力资源部,职能,P5
30505,郑曦军,职能线,行政法务部,职能,M1
30506,金桂娜,职能线,财务部,职能,M1
30507,周桂,职能线,人力资源部,职能,P6
30508,许芳晨,职能线,行政法务部,职能,M2
30509,严芳超,职能线,财务部,职能,P5
30510,韩伟,职能线,行政法务部,职能,M1
30511,朱娟,职能线,人力资源部,职能,P7
30512,陈怡宇,职能线,行政法务部,职能,P4
30513,杨娜桂,职能线,财务部,职能,P7
30514,冯霞斌,职能线,行政法务部,职能,P5
30515,魏兰,职能线,行政法务部,职能,P4
30517,陈秀红,职能线,人力资源部,职能,P7
30518,曹艳芳,职能线,人力资源部,职能,P7
30519,吕勇,职能线,人力资源部,职能,P4
30520,严欣,职能线,行政法务部,职能,P4
30521,姜欣英,-,-,高管,E1
30522,华敏秀,-,-,高管,E1
30537,曹萍明,技术平台中心,应用研发部,技术,P5
30538,秦刚华,用户增长中心,市场部,运营,P4
30539,华宇,用户增长中心,内容运营部,运营,P4
30540,韩伟斌,技术平台中心,数据智能部,技术,P4
30541,钱霞超,职能线,财务部,职能,P4
30542,曹勇斌,商业化中心,销售一部,销售,P5
30543,施芳,职能线,人力资源部,职能,P5
30544,曹华,职能线,财务部,职能,P5
30545,吕娜,商业化中心,销售一部,销售,P5
30546,严艳,商业化中心,商业产品部,销售,P4
30547,王兰华,商业化中心,销售一部,销售,P4
30548,吴丽,商业化中心,商业产品部,销售,P4
30549,施欣,技术平台中心,基础架构部,技术,P4
30550,沈曦,商业化中心,销售一部,销售,P4
30551,何斌强,技术平台中心,应用研发部,技术,P4
30552,郑敏,技术平台中心,应用研发部,技术,P5
30553,杨悦,职能线,人力资源部,职能,P4
30554,张静,职能线,人力资源部,职能,P5
